Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",4,2,3,9,9,8,2,2,4,1864293,813393,1761226,3247290,8523138,15118024,801579,749340,1226825
7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",1,2,4,8,4,4,2,3,3,604898,866346,2316999,2111043,3344149,7158778,667451,971228,966756
8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",2,1,2,0,1,2,0,0,1,409393,234142,1314260,,659925,3312328,,,127309
9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",1,1,2,3,2,5,1,0,1,195313,300310,1618251,820709,1678400,8547819,335144,,427271
10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",3,1,5,7,4,6,1,2,3,748304,627180,3321979,1970812,3754386,10142566,477152,726572,847057
11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",6,2,2,12,11,6,2,5,7,3232345,851945,1496295,5039254,14221303,15477546,412916,2772964,2888650
12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",2,2,3,9,8,9,4,2,6,845900,908392,2285727,3039771,8023793,16287436,1618352,733275,2027665
13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",9,2,2,15,12,11,3,6,6,4313983,868912,1571774,5940120,15196716,25197075,1098003,2280133,2063242
14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",4,1,5,4,7,6,3,2,5,1218192,464864,3306709,1151210,6211099,10973561,1083240,786990,1242034
15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",1,1,2,2,1,2,0,1,1,282514,419942,1562453,493011,571208,5159362,,817421,277451
16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",0,1,1,1,1,1,0,0,0,,333095,813075,462316,540177,2418750,,,
17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",1,1,3,2,2,3,1,0,1,658119,555994,2257224,911264,1700526,7093407,374706,,559641
18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",1,1,2,1,2,4,1,0,0,237934,286737,1608314,368986,1473849,8436315,436436,,
19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",1,1,1,3,2,3,0,0,1,384789,321619,656538,1327959,2356279,5652339,,,414816
20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",1,1,3,2,1,4,1,0,1,333372,420439,2491908,605204,992389,8517883,461838,,394080
21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",1,1,3,3,3,6,1,0,1,470061,552378,2030836,953981,2460450,10982152,413292,,482310
22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",1,1,1,2,3,4,2,0,2,250447,383506,867257,546723,3055081,6435766,688777,,780216
23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",3,2,3,7,6,6,2,3,3,1084873,720082,1796876,2499131,6206538,10538926,735224,1532768,1518490
24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",1,1,3,4,4,5,3,1,1,268309,405081,1947899,1313767,3301339,8998739,1058075,182806,541376
25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",3,1,5,4,4,6,3,2,2,920631,581000,3686465,1320829,4470097,11426042,1109486,581939,817369
26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",0,1,3,0,2,5,0,0,0,,289915,1863379,,1165636,10366938,,,
27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",3,1,4,5,6,6,3,3,4,856848,464864,2752926,1385021,5685602,11657791,1083240,1200932,910434
28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",3,1,2,13,5,8,1,2,4,840615,451703,1082197,4175580,3602880,20611510,225273,621792,1444467
29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",9,2,2,15,7,9,3,5,6,3717991,860866,1399927,5135893,8894725,19866893,1094061,1905806,2095600
30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",0,1,1,2,1,3,1,1,0,,434068,824054,600443,963236,5673420,522058,350150,
31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",0,0,1,0,0,2,0,0,0,,,836965,,,3785954,,,
