,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
4784,190_1152241,"Villas at Boone Ridge, The",133 Boone Ridge Drive,Johnson City,Washington,TN,37615,36.3841084,-82.4239338,251,230848,A-,B-,Completed,N,N,N,N,,,,,1731,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4785,190_1358038,Universal at Mockingbird Lane,234 Mockingbird Lane,Johnson City,Washington,TN,37604,36.335589,-82.379277,262,0,A-,B-,Completed,N,,N,N,,,,,,FALSE,,High Mid-Range,Low Mid-Range,,0,,0,0,,,,0,0
4827,71_10,Fortress Grove,3920 Puckett Creek Crossing,Murfreesboro,Rutherford,TN,37128,35.863528,-86.46736,320,331564,A-,B,Completed,N,N,N,N,,,,95.3,1712,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4828,71_101,"Cove at Priest Lake, The",3960 Bell Road,Hermitage,Davidson,TN,37076,36.165706,-86.606229,366,360141,A-,B,Completed,N,N,N,N,,,,97,1488,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4829,71_104,Creekstone,266 Stewarts Ferry Pike,Nashville,Davidson,TN,37214,36.161517,-86.646343,316,257920,B+,B-,Completed,N,N,N,N,,,,97.5,1397,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4830,71_1097508,T3 Finery,622 Merritt Avenue,Nashville,Davidson,TN,37203,36.140313,-86.77092,311,0,,C+,Planned,,,,,,,,,,TRUE,"Includes 320,000 Square Feet of Office",,Workforce,,,,,,,,,1,320000
4831,71_1097560,Stewarts Ferry Pike,600 Stewarts Ferry Pike,Nashville,Davidson,TN,37214,36.155697,-86.63341,318,0,,C+,Prospective,,,,,,,,,,FALSE,,,Workforce,,,,,,,,,0,0
4832,71_1101437,Sterling at Nashville West,7116 Charlotte Pike,Nashville,Davidson,TN,37209,36.126985,-86.910319,289,0,,B-,Under Construction,,,,,,,,,,,,,Low Mid-Range,,,,,,,,,,0
4833,71_1108524,West Heiman Street,2500 West Heiman Street,Nashville,Davidson,TN,37208,36.171334,-86.816891,288,0,,C,Prospective,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4834,71_1108867,200 Cumberland Bend,200 Cumberland Bend,Nashville,Davidson,TN,37228,36.19325,-86.785791,300,0,,C+,Prospective,,,,,,,,,,,,,Workforce,,,,,,,,,,0
