Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
21,Marshalls,TN,36.32191681,-86.6014702,199711,"36.32191681,-86.6014702",0,0
1,Marshalls,FL,26.6834479,-80.22362638,819819,"26.6834479,-80.22362638",1,1
2,Marshalls,FL,29.11130473,-81.03616413,754601,"29.11130473,-81.03616413",2,1
3,Marshalls,FL,27.63733172,-80.44914495,702859,"27.63733172,-80.44914495",2,1
4,Marshalls,FL,28.52103765,-81.58389624,650072,"28.52103765,-81.58389624",1,1
5,Marshalls,FL,25.86463408,-80.31606456,622791,"25.86463408,-80.31606456",1,1
6,Marshalls,FL,29.86862798,-81.32534911,599968,"29.86862798,-81.32534911",1,1
7,Marshalls,FL,25.74786693,-80.38838071,562742,"25.74786693,-80.38838071",0,0
8,Marshalls,FL,28.34226274,-81.41032988,559928,"28.34226274,-81.41032988",1,1
9,Marshalls,FL,27.99839165,-81.96058114,559641,"27.99839165,-81.96058114",0,0
10,Marshalls,FL,28.20242974,-82.66406799,555623,"28.20242974,-82.66406799",2,1
11,Marshalls,FL,28.02853219,-82.50300763,552525,"28.02853219,-82.50300763",0,0
12,Marshalls,FL,26.14945018,-80.32563391,548214,"26.14945018,-80.32563391",3,1
13,Marshalls,FL,30.27075293,-81.39014639,541376,"30.27075293,-81.39014639",1,1
14,Marshalls,FL,29.62730729,-82.38218874,527287,"29.62730729,-82.38218874",1,1
15,Marshalls,FL,28.53635626,-82.50622751,502202,"28.53635626,-82.50622751",1,1
16,Marshalls,FL,25.6861927,-80.42254009,483807,"25.6861927,-80.42254009",1,1
17,Marshalls,FL,27.94261139,-82.32225189,482310,"27.94261139,-82.32225189",2,1
18,Marshalls,FL,25.93155015,-80.12302813,481957,"25.93155015,-80.12302813",1,1
19,Marshalls,FL,28.60393079,-81.36809838,473033,"28.60393079,-81.36809838",2,1
20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",0,0
21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",0,0
22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",2,1
23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",1,1
24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",3,1
25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",2,1
26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",1,1
27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",2,1
28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",2,1
29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",3,1
30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",1,1
31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",0,0
32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",1,1
33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",0,0
34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",1,1
35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",3,1
36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",2,1
37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",0,0
38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",1,1
39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",0,0
40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",3,1
41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",2,1
42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",1,1
43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",1,1
44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",1,1
45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",0,0
46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",1,1
47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",1,1
48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",0,0
49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",0,0
50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",1,1
51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",1,1
52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",0,0
53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",1,1
54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",0,0
55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",1,1
56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",2,1
57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",1,1
58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",0,0
59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",0,0
60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",1,1
61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",1,1
